数据库：月度数据
时间：2016-
时间,居民消费价格指数(上年同月=100),食品烟酒类居民消费价格指数(上年同月=100),衣着类居民消费价格指数(上年同月=100),居住类居民消费价格指数(上年同月=100),生活用品及服务类居民消费价格指数(上年同月=100),交通和通信类居民消费价格指数(上年同月=100),教育文化和娱乐类居民消费价格指数(上年同月=100),医疗保健类居民消费价格指数(上年同月=100),其他用品和服务类居民消费价格指数(上年同月=100),出口总值当期值(千美元),进口总值当期值(千美元)
2020年2月,105.2,116.0,100.5,100.3,100.1,98.4,101.0,102.2,104.4,,
2020年1月,105.4,115.2,100.6,100.5,100.2,100.9,102.2,102.3,104.8,,
2019年12月,104.5,112.9,100.8,100.5,100.4,99.3,101.8,102.1,104.4,238267589,191057245
2019年11月,104.5,113.9,101.1,100.4,100.4,97.2,101.7,102.0,104.5,221337434,183411013
2019年10月,103.8,111.4,101.2,100.5,100.6,96.5,101.9,102.1,105.5,212916095,169898075
2019年9月,103.0,108.4,101.6,100.7,100.6,97.1,101.7,102.2,105.8,218123102,178474843
2019年8月,102.8,107.3,101.6,101.0,100.7,97.7,102.1,102.3,104.7,214786135,179959655
2019年7月,102.8,106.7,101.8,101.5,100.8,97.9,102.3,102.6,103.4,221553908,176940637
2019年6月,102.7,106.1,101.8,101.6,100.8,98.1,102.4,102.5,102.7,212835863,161859791
2019年5月,102.7,105.8,101.7,101.8,101.0,99.1,102.6,102.5,102.1,213845417,172187571
2019年4月,102.5,104.7,101.8,102.0,101.1,99.5,102.5,102.6,101.9,193481260,179647719
2019年3月,102.3,103.5,102.0,102.1,101.2,100.1,102.4,102.7,101.9,198655790,165984372
2019年2月,101.5,101.2,102.0,102.2,101.3,98.8,102.4,102.8,102.0,135200630,131119542
2019年1月,101.7,102.0,101.6,102.1,101.5,98.7,102.9,102.7,102.3,217566642,178409792
2018年12月,101.9,102.4,101.5,102.2,101.4,99.3,102.3,102.5,101.6,221249124,164193569
2018年11月,102.2,102.5,101.4,102.4,101.5,101.6,102.5,102.6,101.5,227445523,182740526
2018年10月,102.5,102.9,101.4,102.5,101.5,103.2,102.5,102.6,101.3,217283435,183266962
2018年9月,102.5,103.0,101.2,102.6,101.6,102.8,102.2,102.7,100.7,226686815,194984435
2018年8月,102.3,101.9,101.3,102.5,101.6,102.7,102.6,104.3,101.2,217372208,189485783
2018年7月,102.1,101.0,101.2,102.4,101.6,103.0,102.3,104.6,101.2,215565384,187515616
2018年6月,101.9,100.8,101.1,102.3,101.5,102.4,101.8,105.0,100.9,216597141,175127271
2018年5月,101.8,100.7,101.1,102.2,101.5,101.8,101.9,105.1,101.0,212869326,187947777
2018年4月,101.8,101.1,101.1,102.2,101.5,101.1,102.0,105.2,100.9,200035315,171653187
2018年3月,102.1,102.0,101.1,102.2,101.6,100.3,102.2,105.7,101.2,174121483,179104260
2018年2月,102.9,103.6,101.1,102.2,101.8,101.5,103.7,106.0,101.7,171616391,137864792
2018年1月,101.5,100.2,101.4,102.7,101.5,100.2,100.9,106.2,101.2,200491435,180142312
2017年12月,101.8,100.3,101.3,102.8,101.6,101.2,102.1,106.6,101.9,231796372,177111682
2017年11月,101.7,99.8,101.2,102.8,101.5,101.3,102.0,107.0,101.7,217382015,177167943
2017年10月,101.9,100.3,101.2,102.8,101.5,100.8,102.3,107.2,101.8,188979730,150794685
2017年9月,101.6,99.6,101.3,102.8,101.4,100.5,102.3,107.6,101.4,198231216,169625750
2017年8月,101.8,100.4,101.3,102.7,101.3,100.7,102.5,105.9,101.4,199342432,157423163
2017年7月,101.4,99.9,101.4,102.5,101.1,99.8,102.5,105.5,101.3,193601151,146876295
2017年6月,101.5,99.8,101.4,102.5,101.1,100.1,102.5,105.7,102.8,196590894,153838330
2017年5月,101.5,99.5,101.3,102.5,101.0,101.1,102.6,105.9,102.9,191014115,150220190
2017年4月,101.2,98.2,101.3,102.4,100.8,101.8,102.6,105.7,103.4,179988316,141955685
2017年3月,100.9,97.6,101.3,102.4,100.7,102.0,102.3,105.3,102.9,180600668,156684253
2017年2月,100.8,97.6,101.2,102.5,100.5,101.7,101.8,105.1,103.1,120078967,129226647
2017年1月,102.5,102.5,101.1,102.3,100.6,102.3,103.3,105.0,104.8,182752414,131409245
2016年12月,102.1,102.2,101.1,102.1,100.4,100.9,102.3,104.6,104.0,209417479,168599109
2016年11月,102.3,103.2,101.4,102.0,100.3,100.0,102.2,104.4,104.2,193546446,149316792
2016年10月,102.1,103.0,101.3,101.8,100.4,99.6,102.1,104.8,103.6,177867030,129102640
2016年9月,101.9,102.7,101.2,101.5,100.3,99.6,102.0,104.3,104.4,184498014,142520352
2016年8月,101.3,101.5,101.3,101.5,100.4,98.8,101.3,104.3,104.5,190592312,138543027
2016年7月,101.8,102.8,101.4,101.6,100.6,98.4,101.6,104.3,104.4,182642116,132414757
2016年6月,101.9,103.7,101.4,101.6,100.6,98.2,101.4,103.8,102.6,180183971,132275084
2016年5月,102.0,104.7,101.5,101.6,100.6,97.4,101.2,103.5,102.2,181059364,131083858
2016年4月,102.3,105.9,101.5,101.4,100.5,97.6,101.2,103.2,101.7,172757807,127200204
